128 7272
2 11 5
2 12 8
2 13 6
2 14 2
2 15 8
2 16 4
2 17 7
2 18 2
2 19 4
2 21 6
2 22 2
2 23 9
2 24 9
2 26 8
2 27 1
2 28 3
2 29 1
2 30 1
2 32 3
2 33 4
2 35 3
2 36 9
2 37 1
2 38 9
2 39 6
2 40 9
2 41 3
2 42 3
2 43 8
2 45 5
2 46 6
2 47 6
2 48 4
2 51 4
2 52 6
2 53 2
2 54 6
2 55 7
2 56 5
2 57 6
2 58 9
2 59 8
2 60 7
2 61 2
2 62 8
2 63 2
2 64 9
2 65 9
2 66 6
2 68 2
2 69 7
2 70 6
2 71 1
2 72 3
2 73 2
2 74 1
2 75 5
2 76 9
2 77 9
2 78 1
2 79 4
2 80 9
2 81 1
2 83 7
2 84 5
2 85 8
2 86 7
2 88 4
2 89 8
2 91 4
2 92 2
2 93 9
2 94 6
2 95 1
2 97 4
2 98 2
2 99 2
2 100 2
2 102 5
2 103 5
2 104 2
2 105 9
2 107 2
2 108 8
2 109 3
2 110 8
2 112 4
2 114 9
2 115 1
2 116 9
2 117 6
2 118 2
2 119 5
2 120 4
2 121 4
2 122 9
2 123 9
2 124 3
2 125 6
2 127 5
3 5 2
3 6 9
3 7 4
3 8 3
3 9 5
3 10 1
3 11 7
3 12 4
3 13 3
3 14 1
3 15 4
3 16 6
3 17 9
3 18 4
3 19 2
3 20 2
3 21 6
3 22 4
3 23 1
3 24 2
3 25 8
3 26 8
3 27 9
3 28 2
3 29 8
3 30 8
3 31 8
3 32 6
3 33 8
3 34 3
3 35 8
3 36 3
3 37 3
3 38 3
3 39 8
3 41 4
3 42 7
3 43 6
3 44 8
3 45 9
3 47 6
3 48 8
3 49 7
3 50 9
3 52 3
3 53 3
3 54 3
3 55 7
3 56 3
3 57 2
3 58 6
3 59 5
3 60 2
3 61 6
3 62 5
3 63 8
3 64 7
3 65 9
3 66 6
3 68 4
3 69 1
3 71 4
3 72 8
3 73 7
3 75 8
3 76 6
3 77 2
3 78 4
3 79 7
3 80 9
3 81 3
3 82 9
3 83 2
3 84 8
3 85 3
3 87 1
3 88 7
3 89 8
3 90 9
3 91 1
3 92 5
3 93 4
3 94 9
3 95 2
3 96 5
3 97 7
3 98 4
3 99 9
3 100 9
3 101 4
3 102 5
3 103 9
3 104 3
3 105 5
3 106 7
3 108 8
3 109 1
3 110 9
3 111 9
3 112 7
3 113 8
3 114 2
3 115 5
3 116 3
3 117 4
3 118 9
3 120 2
3 122 1
3 123 9
3 124 6
3 125 2
3 126 1
3 127 2
4 6 7
4 7 3
4 8 1
4 9 1
4 10 9
4 12 5
4 13 6
4 14 7
4 15 7
4 16 4
4 18 6
4 19 4
4 20 7
4 21 4
4 22 8
4 23 5
4 24 8
4 25 2
4 26 6
4 28 6
4 29 6
4 30 4
4 31 6
4 32 2
4 33 8
4 34 9
4 35 6
4 37 7
4 39 1
4 41 1
4 42 3
4 43 7
4 44 7
4 45 2
4 46 6
4 47 4
4 48 5
4 49 2
4 51 2
4 52 9
4 54 9
4 55 9
4 56 4
4 57 5
4 58 1
4 60 3
4 61 7
4 62 8
4 63 8
4 64 6
4 66 4
4 67 6
4 68 7
4 69 6
4 71 9
4 72 7
4 73 5
4 74 9
4 75 7
4 76 8
4 77 5
4 78 3
4 79 3
4 80 8
4 81 3
4 82 7
4 83 9
4 84 3
4 85 7
4 86 8
4 87 7
4 88 4
4 89 1
4 90 9
4 92 9
4 93 8
4 94 8
4 95 5
4 96 8
4 97 4
4 98 3
4 99 7
4 100 1
4 101 3
4 102 8
4 104 9
4 105 7
4 106 9
4 107 9
4 108 3
4 109 2
4 110 4
4 111 3
4 112 7
4 113 1
4 114 2
4 115 2
4 117 2
4 118 1
4 119 7
4 120 5
4 121 1
4 122 7
4 123 4
4 124 1
4 125 7
4 126 1
4 127 1
5 6 1
5 7 7
5 9 4
5 11 8
5 12 5
5 13 1
5 14 6
5 15 6
5 16 2
5 17 1
5 18 9
5 19 6
5 20 4
5 21 8
5 23 8
5 24 1
5 26 2
5 27 2
5 28 9
5 29 7
5 30 5
5 31 6
5 32 4
5 33 6
5 34 3
5 35 7
5 36 9
5 37 7
5 38 4
5 39 9
5 40 1
5 41 7
5 43 6
5 45 8
5 46 5
5 47 3
5 48 9
5 49 4
5 50 1
5 51 5
5 52 4
5 53 1
5 54 5
5 55 5
5 56 4
5 57 9
5 58 8
5 59 3
5 60 8
5 61 5
5 62 2
5 63 2
5 64 2
5 65 7
5 67 3
5 68 4
5 69 6
5 70 3
5 71 6
5 72 3
5 73 3
5 74 4
5 75 4
5 76 3
5 77 9
5 78 7
5 79 2
5 80 5
5 81 8
5 82 9
5 84 2
5 85 4
5 86 7
5 87 6
5 88 5
5 89 7
5 90 1
5 91 3
5 92 3
5 93 3
5 94 8
5 95 5
5 96 1
5 98 8
5 99 7
5 100 6
5 101 3
5 102 5
5 104 8
5 106 4
5 107 1
5 108 1
5 109 3
5 110 5
5 111 9
5 112 3
5 113 4
5 114 1
5 115 5
5 117 8
5 118 3
5 119 5
5 120 6
5 121 5
5 122 9
5 123 9
5 125 7
5 126 6
5 127 3
6 7 7
6 8 6
6 9 1
6 10 5
6 12 6
6 13 5
6 15 8
6 16 1
6 17 2
6 18 2
6 19 6
6 20 9
6 21 1
6 23 4
6 24 2
6 25 7
6 26 4
6 28 3
6 29 2
6 30 8
6 32 3
6 33 7
6 36 3
6 37 4
6 38 9
6 39 2
6 40 7
6 41 4
6 42 2
6 43 5
6 44 2
6 45 4
6 46 4
6 47 3
6 48 8
6 49 6
6 51 8
6 52 9
6 53 2
6 54 2
6 55 3
6 56 1
6 57 8
6 58 3
6 59 4
6 60 2
6 61 2
6 62 4
6 63 5
6 64 1
6 65 7
6 66 5
6 67 7
6 68 1
6 69 6
6 70 9
6 71 8
6 72 1
6 73 3
6 74 3
6 75 3
6 76 7
6 77 9
6 78 8
6 79 6
6 80 7
6 82 4
6 83 8
6 84 4
6 85 8
6 86 1
6 87 6
6 88 8
6 89 5
6 90 2
6 91 1
6 92 9
6 93 9
6 94 6
6 96 6
6 97 4
6 98 9
6 99 9
6 101 8
6 102 9
6 103 3
6 104 1
6 105 4
6 106 8
6 107 9
6 108 6
6 109 7
6 110 7
6 111 3
6 112 7
6 113 1
6 114 2
6 115 2
6 116 1
6 117 5
6 119 9
6 121 4
6 123 1
6 124 3
6 125 7
6 126 4
6 127 1
7 8 1
7 9 3
7 11 3
7 12 2
7 13 1
7 14 7
7 15 5
7 16 6
7 17 5
7 18 4
7 19 2
7 20 2
7 21 1
7 22 7
7 23 2
7 24 4
7 25 1
7 26 6
7 27 5
7 28 7
7 29 8
7 30 5
7 31 9
7 32 2
7 33 7
7 34 3
7 35 6
7 36 4
7 37 7
7 38 9
7 39 7
7 40 2
7 41 2
7 42 1
7 43 6
7 44 3
7 46 2
7 47 1
7 48 5
7 49 6
7 50 5
7 53 3
7 54 4
7 55 6
7 56 6
7 58 2
7 59 5
7 60 8
7 61 9
7 62 5
7 64 6
7 66 8
7 67 3
7 68 7
7 69 8
7 70 2
7 71 1
7 73 5
7 74 8
7 75 5
7 76 5
7 78 7
7 79 3
7 80 8
7 81 2
7 82 3
7 84 7
7 85 7
7 86 7
7 87 6
7 88 9
7 89 1
7 90 1
7 91 9
7 93 8
7 94 9
7 95 8
7 96 8
7 98 3
7 99 7
7 101 6
7 102 9
7 103 2
7 104 1
7 105 7
7 106 7
7 107 9
7 108 7
7 109 6
7 110 2
7 111 7
7 112 1
7 113 5
7 114 8
7 115 8
7 116 4
7 117 5
7 118 6
7 119 5
7 120 6
7 121 8
7 122 4
7 123 8
7 124 8
7 125 3
7 126 8
7 127 7
8 9 5
8 10 2
8 11 4
8 12 5
8 14 5
8 15 7
8 16 3
8 17 2
8 18 7
8 19 2
8 20 1
8 21 3
8 22 4
8 23 9
8 24 4
8 25 1
8 26 9
8 27 5
8 28 7
8 29 4
8 30 1
8 31 2
8 32 2
8 33 1
8 34 6
8 35 2
8 37 2
8 38 2
8 39 9
8 40 7
8 41 4
8 42 3
8 43 5
8 44 6
8 45 1
8 46 4
8 48 3
8 49 1
8 50 2
8 51 7
8 52 7
8 53 9
8 54 8
8 55 1
8 57 7
8 58 6
8 60 1
8 62 2
8 63 5
8 64 1
8 65 9
8 66 7
8 67 1
8 68 3
8 69 1
8 70 2
8 72 6
8 73 8
8 74 7
8 75 4
8 76 9
8 77 2
8 78 4
8 79 4
8 80 5
8 81 9
8 82 1
8 83 2
8 84 8
8 85 9
8 86 6
8 88 6
8 89 4
8 91 9
8 92 4
8 93 5
8 94 4
8 95 6
8 96 6
8 97 3
8 98 9
8 99 9
8 100 5
8 101 2
8 102 1
8 103 3
8 105 9
8 106 9
8 107 1
8 108 3
8 109 4
8 110 5
8 111 8
8 112 5
8 113 7
8 114 3
8 115 3
8 116 8
8 117 9
8 118 5
8 119 5
8 120 3
8 121 8
8 122 6
8 124 3
8 125 3
8 126 6
8 127 1
9 10 8
9 11 7
9 13 5
9 14 1
9 15 1
9 17 3
9 20 4
9 21 5
9 22 4
9 23 2
9 24 4
9 25 9
9 26 9
9 27 9
9 28 4
9 29 9
9 30 8
9 31 1
9 32 6
9 33 3
9 34 9
9 35 3
9 36 3
9 37 4
9 38 6
9 39 1
9 40 5
9 41 6
9 42 1
9 43 7
9 44 2
9 45 2
9 46 9
9 47 2
9 48 8
9 49 1
9 50 2
9 51 4
9 52 7
9 53 8
9 54 6
9 55 3
9 56 7
9 57 7
9 58 2
9 59 3
9 60 7
9 61 2
9 62 5
9 63 3
9 64 7
9 65 6
9 66 8
9 67 1
9 68 3
9 69 6
9 70 4
9 72 3
9 73 5
9 74 8
9 75 5
9 77 9
9 78 9
9 79 8
9 81 2
9 82 4
9 83 9
9 85 1
9 86 2
9 89 6
9 90 3
9 91 9
9 93 8
9 94 3
9 95 8
9 96 7
9 97 3
9 98 1
9 101 5
9 103 3
9 104 1
9 105 8
9 107 1
9 108 7
9 109 9
9 110 1
9 112 3
9 113 5
9 114 9
9 115 4
9 116 8
9 117 4
9 118 6
9 119 9
9 120 2
9 121 9
9 123 3
9 125 3
9 126 3
9 127 7
10 11 9
10 12 4
10 13 9
10 14 9
10 15 1
10 16 9
10 17 4
10 18 2
10 20 6
10 21 5
10 22 9
10 23 5
10 24 6
10 25 1
10 26 1
10 27 4
10 28 3
10 29 7
10 30 2
10 31 7
10 32 3
10 33 3
10 34 9
10 35 2
10 36 4
10 37 4
10 38 4
10 39 9
10 40 9
10 41 3
10 42 8
10 43 3
10 44 2
10 45 9
10 46 5
10 47 4
10 48 3
10 49 9
10 50 4
10 51 9
10 52 5
10 53 5
10 54 7
10 55 3
10 56 9
10 58 7
10 59 2
10 60 7
10 61 2
10 62 9
10 64 5
10 66 4
10 67 1
10 68 7
10 69 9
10 70 3
10 71 6
10 72 2
10 73 1
10 74 2
10 75 5
10 76 3
10 77 9
10 78 1
10 79 8
10 80 8
10 81 7
10 83 5
10 84 2
10 85 7
10 86 9
10 87 1
10 88 9
10 89 6
10 90 3
10 91 6
10 92 8
10 93 4
10 94 6
10 95 6
10 96 7
10 97 2
10 98 7
10 99 4
10 100 1
10 103 6
10 104 4
10 105 4
10 106 3
10 107 7
10 108 3
10 109 4
10 110 7
10 111 2
10 112 1
10 113 7
10 114 9
10 115 5
10 116 6
10 117 8
10 118 9
10 119 5
10 120 5
10 121 2
10 122 1
10 123 5
10 124 9
10 125 9
10 126 1
10 127 6
11 12 2
11 13 1
11 15 5
11 16 3
11 17 2
11 18 1
11 19 9
11 20 7
11 21 6
11 22 8
11 23 2
11 25 6
11 26 4
11 27 3
11 28 3
11 29 6
11 30 9
11 32 4
11 33 8
11 34 5
11 35 1
11 36 2
11 37 9
11 38 7
11 39 3
11 40 8
11 42 9
11 43 2
11 44 3
11 45 1
11 46 8
11 47 7
11 48 4
11 49 1
11 50 6
11 51 3
11 52 8
11 53 5
11 54 5
11 56 1
11 57 2
11 58 6
11 59 4
11 60 8
11 61 5
11 62 6
11 63 2
11 64 5
11 65 2
11 66 6
11 67 9
11 68 1
11 69 3
11 70 3
11 71 1
11 72 5
11 73 2
11 74 6
11 75 9
11 76 4
11 77 4
11 78 6
11 80 7
11 81 4
11 82 3
11 83 7
11 84 9
11 87 2
11 88 2
11 89 6
11 90 9
11 92 3
11 93 5
11 94 5
11 95 8
11 96 7
11 97 1
11 98 7
11 100 6
11 102 4
11 103 1
11 104 3
11 106 2
11 107 9
11 108 6
11 110 9
11 111 3
11 112 5
11 113 4
11 114 3
11 115 6
11 116 4
11 117 3
11 118 1
11 119 9
11 120 1
11 122 9
11 123 4
11 124 5
11 125 6
11 126 2
11 127 5
12 13 9
12 14 1
12 15 7
12 16 7
12 17 4
12 18 1
12 19 1
12 20 9
12 21 1
12 22 3
12 23 8
12 24 7
12 25 4
12 26 9
12 27 3
12 28 1
12 29 3
12 30 8
12 31 7
12 32 9
12 33 3
12 34 8
12 35 8
12 36 4
12 39 8
12 40 6
12 41 8
12 42 2
12 43 3
12 44 8
12 45 5
12 47 5
12 48 9
12 49 2
12 50 6
12 51 8
12 52 5
12 53 2
12 54 8
12 55 3
12 56 6
12 57 7
12 58 8
12 59 7
12 60 2
12 61 6
12 62 6
12 63 2
12 64 9
12 65 7
12 67 3
12 68 7
12 69 2
12 70 3
12 71 5
12 72 1
12 73 7
12 74 8
12 75 9
12 76 4
12 77 1
12 78 6
12 79 4
12 80 3
12 81 5
12 82 4
12 83 8
12 84 7
12 85 3
12 86 3
12 87 5
12 89 1
12 90 4
12 91 5
12 92 7
12 94 7
12 95 8
12 96 9
12 97 9
12 98 3
12 99 9
12 100 4
12 101 6
12 102 4
12 103 5
12 104 5
12 105 5
12 106 6
12 108 6
12 109 2
12 110 6
12 111 9
12 112 9
12 113 2
12 114 9
12 115 6
12 116 5
12 117 5
12 118 3
12 119 8
12 120 6
12 121 7
12 122 3
12 123 6
12 125 2
12 126 6
12 127 9
13 14 3
13 16 8
13 17 7
13 18 6
13 19 5
13 20 2
13 21 4
13 24 6
13 25 8
13 26 5
13 27 4
13 28 9
13 29 4
13 30 6
13 31 8
13 32 3
13 33 2
13 34 3
13 35 6
13 36 2
13 37 2
13 38 4
13 39 7
13 41 4
13 42 9
13 43 6
13 44 5
13 45 4
13 46 6
13 47 4
13 48 2
13 49 5
13 50 1
13 51 6
13 52 1
13 53 3
13 54 7
13 55 7
13 56 1
13 57 2
13 58 1
13 60 8
13 61 9
13 63 1
13 64 3
13 65 4
13 66 8
13 67 5
13 68 8
13 69 2
13 70 2
13 72 6
13 73 3
13 74 6
13 75 1
13 77 5
13 78 7
13 79 4
13 80 2
13 83 3
13 84 3
13 85 9
13 87 4
13 88 3
13 89 3
13 90 4
13 91 2
13 92 4
13 93 5
13 94 3
13 95 8
13 96 1
13 97 1
13 98 3
13 99 1
13 100 5
13 101 8
13 102 1
13 103 3
13 104 3
13 105 9
13 106 7
13 107 5
13 108 4
13 109 4
13 110 9
13 111 6
13 112 7
13 113 2
13 114 1
13 116 1
13 117 3
13 118 7
13 119 7
13 120 6
13 121 3
13 122 9
13 123 1
13 125 4
13 126 1
13 127 1
14 15 8
14 16 6
14 17 4
14 18 3
14 19 4
14 20 7
14 21 7
14 23 7
14 24 4
14 25 5
14 26 3
14 28 7
14 29 2
14 30 9
14 31 9
14 32 3
14 34 2
14 35 7
14 36 9
14 37 9
14 38 5
14 39 2
14 41 8
14 42 3
14 43 5
14 44 9
14 45 6
14 46 5
14 47 6
14 48 3
14 50 2
14 52 7
14 53 4
14 54 7
14 55 3
14 57 1
14 58 6
14 59 7
14 60 5
14 61 7
14 62 8
14 63 8
14 64 9
14 66 7
14 67 8
14 69 3
14 70 1
14 72 3
14 73 6
14 74 7
14 75 3
14 76 2
14 77 2
14 78 1
14 79 5
14 80 3
14 81 3
14 82 8
14 83 2
14 84 8
14 85 5
14 86 8
14 88 8
14 89 6
14 90 9
14 91 3
14 92 3
14 93 7
14 94 4
14 95 3
14 96 7
14 97 1
14 98 3
14 99 9
14 100 6
14 101 4
14 102 2
14 104 2
14 105 9
14 106 5
14 107 7
14 108 4
14 109 6
14 110 4
14 111 9
14 112 1
14 113 2
14 114 3
14 115 1
14 116 8
14 117 1
14 118 3
14 119 8
14 120 9
14 121 2
14 122 4
14 123 5
14 124 1
14 127 1
15 16 3
15 17 3
15 21 2
15 22 2
15 23 2
15 24 4
15 25 7
15 26 9
15 27 8
15 28 5
15 29 4
15 30 7
15 31 8
15 32 6
15 35 6
15 36 4
15 37 3
15 38 7
15 39 5
15 40 8
15 41 1
15 43 9
15 44 3
15 46 2
15 47 6
15 48 4
15 49 3
15 50 8
15 51 6
15 52 7
15 54 8
15 55 1
15 56 9
15 57 8
15 58 1
15 59 6
15 60 4
15 61 8
15 62 5
15 64 1
15 65 5
15 66 9
15 67 7
15 69 6
15 70 2
15 71 8
15 72 9
15 73 5
15 75 2
15 76 7
15 77 2
15 78 8
15 79 1
15 80 7
15 81 7
15 82 9
15 83 7
15 84 9
15 85 8
15 86 8
15 87 9
15 88 8
15 90 5
15 91 2
15 93 2
15 94 4
15 95 3
15 96 7
15 97 3
15 100 1
15 101 5
15 102 8
15 106 4
15 107 7
15 108 5
15 109 3
15 110 1
15 111 4
15 112 2
15 114 1
15 115 3
15 118 4
15 119 8
15 120 2
15 121 2
15 123 2
15 124 4
15 125 5
15 126 8
15 127 4
16 18 8
16 19 4
16 20 2
16 21 5
16 22 4
16 23 2
16 24 7
16 25 5
16 26 7
16 27 5
16 28 2
16 29 2
16 30 8
16 31 6
16 32 6
16 35 9
16 36 1
16 37 2
16 38 6
16 39 9
16 40 4
16 41 8
16 42 2
16 43 8
16 44 2
16 45 7
16 46 8
16 47 6
16 48 7
16 49 7
16 51 9
16 52 4
16 53 5
16 54 4
16 55 2
16 56 2
16 57 3
16 58 9
16 59 6
16 60 5
16 61 7
16 62 4
16 63 3
16 64 9
16 65 4
16 66 4
16 68 6
16 70 2
16 71 2
16 72 8
16 73 4
16 74 3
16 75 1
16 76 1
16 77 1
16 78 9
16 82 2
16 83 5
16 84 7
16 85 6
16 86 9
16 87 1
16 88 9
16 89 8
16 90 7
16 91 6
16 92 5
16 93 1
16 94 1
16 95 4
16 96 8
16 97 5
16 98 7
16 99 6
16 100 6
16 101 9
16 102 1
16 103 4
16 104 3
16 105 6
16 106 7
16 107 6
16 108 9
16 109 7
16 110 6
16 112 9
16 114 7
16 115 6
16 116 6
16 117 8
16 118 7
16 119 7
16 120 6
16 121 6
16 122 5
16 123 3
16 124 7
16 125 6
16 126 9
16 127 7
17 18 2
17 19 6
17 20 4
17 22 7
17 23 5
17 24 4
17 26 1
17 27 2
17 28 8
17 30 1
17 31 5
17 32 2
17 34 7
17 35 1
17 36 6
17 37 4
17 38 9
17 39 5
17 40 3
17 41 5
17 42 1
17 43 1
17 46 7
17 48 8
17 49 1
17 50 6
17 51 4
17 52 1
17 53 4
17 54 9
17 55 8
17 56 6
17 57 2
17 58 2
17 59 5
17 60 2
17 61 3
17 62 2
17 63 7
17 64 3
17 65 9
17 67 1
17 68 5
17 70 6
17 71 9
17 72 7
17 73 9
17 74 2
17 75 8
17 76 9
17 77 9
17 78 8
17 79 9
17 80 3
17 81 6
17 82 3
17 83 6
17 85 4
17 86 4
17 87 9
17 88 6
17 89 6
17 90 4
17 91 1
17 92 9
17 93 8
17 95 4
17 96 9
17 98 5
17 99 5
17 101 1
17 102 6
17 104 2
17 105 8
17 106 8
17 107 4
17 108 9
17 109 8
17 110 3
17 111 4
17 112 4
17 113 9
17 114 1
17 115 7
17 116 5
17 117 7
17 118 6
17 119 2
17 120 4
17 121 2
17 122 5
17 123 5
17 125 5
17 126 2
17 127 9
18 19 7
18 20 7
18 21 6
18 22 8
18 23 1
18 24 2
18 26 3
18 27 2
18 28 8
18 29 7
18 30 4
18 31 6
18 32 3
18 33 8
18 35 4
18 36 9
18 37 7
18 38 9
18 39 7
18 40 5
18 41 1
18 42 3
18 43 7
18 44 8
18 46 9
18 47 5
18 48 2
18 49 1
18 50 3
18 51 2
18 52 7
18 53 3
18 54 3
18 55 2
18 56 3
18 57 8
18 58 6
18 59 1
18 60 6
18 62 9
18 63 1
18 64 9
18 65 1
18 66 5
18 68 9
18 69 4
18 70 9
18 71 6
18 72 8
18 73 2
18 74 4
18 75 6
18 76 5
18 77 3
18 78 4
18 79 7
18 80 4
18 81 7
18 82 1
18 83 4
18 85 4
18 86 8
18 87 3
18 88 3
18 89 4
18 90 6
18 91 1
18 92 5
18 93 5
18 94 4
18 95 6
18 96 6
18 97 9
18 98 6
18 99 7
18 100 5
18 101 6
18 102 4
18 103 3
18 106 2
18 107 5
18 108 3
18 109 8
18 110 5
18 112 5
18 113 6
18 114 6
18 115 7
18 116 3
18 117 4
18 119 8
18 121 8
18 122 1
18 123 5
18 124 3
18 125 5
18 126 1
18 127 1
19 20 4
19 22 1
19 23 1
19 24 8
19 25 5
19 26 7
19 27 8
19 28 5
19 29 1
19 30 6
19 32 9
19 33 1
19 34 2
19 35 4
19 36 9
19 38 1
19 39 4
19 40 4
19 41 3
19 42 2
19 43 5
19 44 1
19 45 3
19 46 2
19 47 6
19 49 6
19 50 9
19 51 6
19 52 8
19 54 8
19 55 6
19 56 7
19 57 5
19 58 4
19 59 4
19 60 6
19 62 5
19 63 5
19 64 3
19 65 9
19 66 1
19 67 5
19 69 4
19 70 9
19 71 6
19 72 7
19 73 4
19 74 3
19 76 9
19 77 6
19 78 6
19 80 4
19 81 5
19 82 8
19 83 2
19 84 8
19 85 6
19 86 8
19 87 5
19 88 3
19 89 4
19 91 1
19 92 7
19 93 7
19 94 8
19 96 8
19 97 9
19 98 7
19 99 8
19 100 3
19 101 9
19 102 7
19 103 2
19 104 5
19 106 2
19 107 4
19 108 8
19 110 6
19 111 2
19 112 6
19 113 5
19 114 6
19 115 6
19 116 3
19 117 4
19 118 1
19 119 7
19 120 1
19 121 3
19 123 8
19 124 2
19 125 9
19 127 1
20 22 8
20 23 1
20 24 6
20 25 7
20 26 8
20 27 8
20 28 2
20 29 1
20 30 3
20 31 8
20 32 9
20 33 3
20 34 5
20 35 4
20 36 1
20 37 2
20 38 2
20 39 7
20 40 7
20 41 9
20 42 1
20 43 4
20 45 4
20 46 7
20 47 8
20 48 7
20 49 6
20 50 8
20 52 8
20 53 6
20 54 1
20 55 4
20 56 5
20 57 2
20 58 5
20 59 9
20 60 3
20 61 8
20 62 8
20 63 4
20 64 3
20 65 5
20 67 5
20 68 9
20 69 3
20 70 4
20 71 6
20 72 2
20 73 5
20 74 3
20 75 2
20 79 9
20 80 8
20 82 9
20 83 6
20 84 7
20 85 2
20 86 1
20 87 4
20 88 4
20 89 8
20 90 4
20 91 9
20 92 8
20 93 4
20 94 4
20 95 1
20 96 9
20 97 6
20 98 8
20 100 9
20 101 3
20 102 6
20 103 3
20 104 8
20 105 9
20 106 5
20 108 1
20 109 7
20 110 1
20 111 9
20 112 8
20 113 2
20 114 6
20 115 7
20 116 5
20 117 9
20 118 3
20 119 9
20 120 9
20 121 7
20 122 9
20 123 7
20 124 3
20 125 5
20 127 4
21 22 1
21 23 9
21 24 4
21 25 1
21 26 4
21 27 3
21 28 6
21 29 4
21 30 2
21 31 2
21 32 7
21 33 6
21 34 1
21 35 8
21 36 5
21 37 1
21 38 1
21 39 3
21 41 6
21 42 4
21 43 4
21 44 7
21 45 5
21 46 3
21 47 8
21 48 2
21 49 7
21 50 3
21 51 5
21 52 3
21 53 7
21 54 4
21 55 8
21 58 1
21 59 6
21 60 4
21 61 5
21 62 8
21 63 3
21 64 1
21 65 2
21 66 2
21 67 9
21 68 5
21 69 5
21 70 4
21 71 6
21 72 3
21 73 1
21 74 2
21 76 6
21 77 5
21 78 1
21 79 9
21 80 4
21 81 4
21 82 6
21 83 8
21 84 1
21 86 8
21 87 1
21 88 2
21 89 9
21 90 8
21 91 8
21 92 6
21 93 8
21 94 2
21 96 2
21 97 4
21 98 9
21 99 8
21 100 1
21 101 5
21 102 6
21 103 4
21 104 6
21 105 8
21 106 6
21 107 3
21 108 5
21 109 7
21 110 4
21 111 2
21 112 4
21 114 2
21 115 7
21 116 2
21 118 1
21 119 6
21 120 1
21 121 9
21 122 4
21 123 9
21 124 9
21 125 6
21 126 9
21 127 4
22 23 2
22 25 2
22 26 3
22 27 6
22 28 8
22 29 9
22 30 2
22 31 8
22 32 6
22 33 7
22 34 3
22 35 5
22 36 3
22 37 5
22 38 9
22 39 5
22 40 9
22 41 7
22 42 9
22 43 9
22 45 5
22 46 2
22 47 1
22 49 2
22 51 6
22 52 3
22 53 6
22 54 9
22 55 4
22 56 8
22 57 4
22 59 8
22 60 4
22 61 4
22 62 8
22 63 2
22 64 4
22 65 2
22 66 7
22 67 7
22 68 9
22 69 9
22 70 3
22 71 9
22 72 8
22 73 4
22 75 8
22 77 5
22 78 9
22 80 9
22 81 1
22 82 8
